,fid,idiip,id_prng,naz_glowna,el_rozroz,el_rodzaj,dopelniacz,przymiot,status_naz,kat_ob,rodzaj_ob,naz_m_nad,id_m_nad,infor_dod,sys_zew,id_zew,tyt_d_zrod,dat_d_zrod,wyd_d_zrod,reprez_ob,wsp_geo,wsp_XY,naz_his,naz_obo,naz_dod,jez_dod,lat_dod,endonim,jez_end,lat_end,egzonim,jez_egz,lat_egz,woj,powiat,gmina,id_gminy,pocz_w_ob,wer_ob,wazna_od,geometry,nearest1,cluster1,nearest2,nearest2_dist,cluster2,nearest3,nearest3_dist,cluster3,nearest4,nearest4_dist,cluster4,nearest5,nearest5_dist,cluster5,line1,line2,line3,line4,line5
137,138,PL.PZGiK.320.NGRP.24639,24639,Dobra,Dobra,,-rej,dobrski,urzędowa,miejscowość,miasto,,,do 2006 r. - istniała część miasta: Dobrzanka (nazwa zniesiona),TERYT (SIMC),0978852,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia 13 grudnia 2012 r., Dz. U. z 2013 r., poz. 200; Wykaz urzędowych nazw miejscow",1991-01-01; 2012-12-13; 1982-01-01,Główny Geodeta Kraju; Minister Administracji i Cyfryzacji; Główny Urząd Statystyczny,punkt główny,"53°35'10"" 15°18'26""",255673.56 642039.95,,,,,,,,,,,,zachodniopomorskie,łobeski,Dobra-gmina miejsko-wiejska,3218013,2021-04-08T09:00:00,2021-04-08T09:00:00,2016-02-23,POINT (255673.56000000008 642039.9499999993),87,138,-1,17449,869.0,-1,53922,829.0,-1,81514,848.0,-1,185548,244.0,"LINESTRING (255673.56000000008 642039.9499999993, 256848.65999999992 628948.5)",,,,
138,139,PL.PZGiK.320.NGRP.24699,24699,Dobre Miasto,Dobre Miasto,,-rego -ta,dobromiejski,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0964614,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia",1991-01-01; 1982-01-01; 2012-12-13,Główny Geodeta Kraju; Główny Urząd Statystyczny; Minister Administracji i Cyfryzacji,punkt główny,"53°59'10"" 20°23'23""",591103.12 681088.54,,,,,,,,,,,,warmińsko-mazurskie,olsztyński,Dobre Miasto-gmina miejsko-wiejska,2814033,2021-04-08T09:00:00,2021-04-08T09:00:00,2016-06-23,POINT (591103.1200000002 681088.54),371,371,-1,21136,249.0,-1,21136,249.0,448,21136,848.0,-1,112143,244.0,"LINESTRING (591103.1200000002 681088.54, 603411.7100000001 696884.7300000014)",,,"LINESTRING (591103.1200000002 681088.54, 570078.57 683261.3899999997)",
139,140,PL.PZGiK.320.NGRP.24728,24728,Dobrodzień,Dobrodzień,,-dzienia,dobrodzieński,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0931454,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia",1991-01-01; 1982-01-01; 2012-12-13,Główny Geodeta Kraju; Główny Urząd Statystyczny; Minister Administracji i Cyfryzacji,punkt główny,"50°43'43"" 18°26'36""",460719.09 318095.44,,,Guttentag,niemiecki,,,,,,,,opolskie,oleski,Dobrodzień-gmina miejsko-wiejska,1608013,2021-04-08T09:00:00,2021-04-08T09:00:00,2019-10-18,POINT (460719.09 318095.4399999995),302,925,-1,26201,935.0,-1,30911,540.0,-1,66144,863.0,-1,66144,244.0,"LINESTRING (460719.09 318095.4399999995, 456484.3000000001 309760.6099999994)",,,,
140,141,PL.PZGiK.320.NGRP.24875,24875,Dobrzany,Dobrzany,,-rzan,dobrzański,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0978875,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia 13 grudnia 2012 r., Dz. U. z 2013 r., poz. 200; Wykaz urzędowych nazw miejscow",1991-01-01; 2012-12-13; 1982-01-01,Główny Geodeta Kraju; Minister Administracji i Cyfryzacji; Główny Urząd Statystyczny,punkt główny,"53°21'30"" 15°25'44""",262447.96 616298.37,,,,,,,,,,,,zachodniopomorskie,stargardzki,Dobrzany-gmina miejsko-wiejska,3214033,2021-04-08T09:00:00,2021-04-08T09:00:00,2016-02-29,POINT (262447.9600000001 616298.3700000001),759,759,-1,13474,869.0,-1,70198,829.0,-1,77487,848.0,-1,163105,244.0,"LINESTRING (262447.9600000001 616298.3700000001, 254584.54 607969.3399999989)",,,,
141,142,PL.PZGiK.320.NGRP.24914,24914,Dobrzyca,Dobrzyca,,-cy,dobrzycki,urzędowa,miejscowość,miasto,,,do 2013 r. - wieś,TERYT (SIMC),0196380,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).; Mapa topograficzna w skali 1:10 000; Rozporządzenie Rady Ministrów z dnia 30 lipca 2013 r., Dz",1991-01-01; 1982-01-01; 2013-07-30; 2012-12-13,Główny Geodeta Kraju; Główny Urząd Statystyczny; Rada Ministrów; Minister Administracji i Cyfryzacji,punkt główny,"51°51'48"" 17°36'04""",403704.68 445044.44,,,,,,,,,,,,wielkopolskie,pleszewski,Dobrzyca-gmina miejsko-wiejska,3020033,2022-01-10T20:50:11,2022-01-10T20:50:11,2016-04-25,POINT (403704.6800000002 445044.44000000134),328,328,592,13221,328.0,-1,18272,766.0,-1,51946,848.0,-1,51946,244.0,"LINESTRING (403704.6800000002 445044.44000000134, 393417.4499999999 441226.5299999984)","LINESTRING (403704.6800000002 445044.44000000134, 416474.0000000001 448472.4399999995)",,,
142,143,PL.PZGiK.320.NGRP.24964,24964,Dobrzyń nad Wisłą,Dobrzyń nad Wisłą,,-nia nad Wisłą,dobrzyński,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0985651,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia",1991-01-01; 1982-01-01; 2012-12-13,Główny Geodeta Kraju; Główny Urząd Statystyczny; Minister Administracji i Cyfryzacji,punkt główny,"52°38'18"" 19°19'22""",521829.24 530328.79,,,,,,,,,,,,kujawsko-pomorskie,lipnowski,Dobrzyń nad Wisłą-gmina miejsko-wiejska,0408043,2021-04-08T09:00:00,2021-04-08T09:00:00,2015-08-27,POINT (521829.24000000005 530328.79),323,382,-1,17669,625.0,-1,24969,766.0,-1,46450,848.0,-1,46450,244.0,"LINESTRING (521829.24000000005 530328.79, 510083.4000000003 518306.71999999974)",,,,
143,144,PL.PZGiK.320.NGRP.25400,25400,Dolsk,Dolsk,,-ka,dolski,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0970589,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia",1991-01-01; 1982-01-01; 2012-12-13,Główny Geodeta Kraju; Główny Urząd Statystyczny; Minister Administracji i Cyfryzacji,punkt główny,"51°59'14"" 17°03'50""",367085.26 459645.25,,,,,,,,,,,,wielkopolskie,śremski,Dolsk-gmina miejsko-wiejska,3026023,2021-04-08T09:00:00,2021-04-08T09:00:00,2016-05-05,POINT (367085.26 459645.25000000093),195,338,-1,14563,676.0,52,14563,766.0,-1,55285,848.0,-1,55285,244.0,"LINESTRING (367085.26 459645.25000000093, 363233.44 448063.17000000086)",,"LINESTRING (367085.26 459645.25000000093, 379144.7400000003 451480.96999999974)",,
144,145,PL.PZGiK.320.NGRP.26147,26147,Drawno,Drawno,,-na,drawieński,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0935357,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia",1991-01-01; 1982-01-01; 2012-12-13,Główny Geodeta Kraju; Główny Urząd Statystyczny; Minister Administracji i Cyfryzacji,punkt główny,"53°13'07"" 15°45'22""",283504.74 599715.37,,,,,,,,,,,,zachodniopomorskie,choszczeński,Drawno-gmina miejsko-wiejska,3202033,2021-04-08T09:00:00,2021-04-08T09:00:00,2016-02-08,POINT (283504.7400000001 599715.3700000001),259,452,660,14735,869.0,-1,51141,829.0,-1,51141,848.0,-1,150378,244.0,"LINESTRING (283504.7400000001 599715.3700000001, 293864.92 608162.3799999999)","LINESTRING (283504.7400000001 599715.3700000001, 269736.17000000004 604964.8500000006)",,,
145,146,PL.PZGiK.320.NGRP.26161,26161,Drawsko Pomorskie,Drawsko Pomorskie,,-ka -kiego,drawski,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0949862,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia",1991-01-01; 1982-01-01; 2012-12-13,Główny Geodeta Kraju; Główny Urząd Statystyczny; Minister Administracji i Cyfryzacji,punkt główny,"53°31'51"" 15°48'34""",288618.87 634283.01,,,,,,,,,,,,zachodniopomorskie,drawski,Drawsko Pomorskie-gmina miejsko-wiejska,3203023,2021-04-08T09:00:00,2021-04-08T09:00:00,2016-02-10,POINT (288618.86999999994 634283.0099999998),942,942,869,16619,869.0,-1,48611,829.0,-1,48611,848.0,-1,184460,244.0,"LINESTRING (288618.86999999994 634283.0099999998, 302006.4999999999 633665.6099999994)","LINESTRING (288618.86999999994 634283.0099999998, 272107.53000000014 636175.1500000004)",,,
146,147,PL.PZGiK.320.NGRP.26246,26246,Drezdenko,Drezdenko,,-ka,drezdenecki,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0935400,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia",1991-01-01; 1982-01-01; 2012-12-13,Główny Geodeta Kraju; Główny Urząd Statystyczny; Minister Administracji i Cyfryzacji,punkt główny,"52°50'19"" 15°49'53""",286647.39 557256.76,,,,,,,,,,,,lubuskie,strzelecko-drezdenecki,Drezdenko-gmina miejsko-wiejska,0806023,2021-04-08T09:00:00,2021-04-08T09:00:00,2016-01-28,POINT (286647.39 557256.7599999988),351,873,-1,26449,869.0,-1,26449,829.0,-1,26449,848.0,-1,107823,244.0,"LINESTRING (286647.39 557256.7599999988, 299109.01999999996 561237.6299999999)",,,,
147,148,PL.PZGiK.320.NGRP.26266,26266,Drobin,Drobin,,-na,drobiński,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0563223,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia",1991-01-01; 1982-01-01; 2012-12-13,Główny Geodeta Kraju; Główny Urząd Statystyczny; Minister Administracji i Cyfryzacji,punkt główny,"52°44'16"" 19°59'25""",566838.9 541807.21,,,,,,,,,,,,mazowieckie,płocki,Drobin-gmina miejsko-wiejska,1419053,2021-04-08T09:00:00,2021-04-08T09:00:00,2017-10-06,POINT (566838.9 541807.21),640,640,-1,25251,940.0,-1,25251,571.0,-1,25251,863.0,-1,25251,244.0,"LINESTRING (566838.9 541807.21, 575481.78 546753.5499999989)",,,,
148,149,PL.PZGiK.320.NGRP.26338,26338,Drohiczyn,Drohiczyn,,-na,drohiczyński,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0922998,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia 13 grudnia 2012 r., Dz. U. z 2013 r., poz. 200; Wykaz urzędowych nazw miejscow",1991-01-01; 2012-12-13; 1982-01-01,Główny Geodeta Kraju; Minister Administracji i Cyfryzacji; Główny Urząd Statystyczny,punkt główny,"52°23'49"" 22°39'32""",748840.03 509732.22,,,,,,,,,,,,podlaskie,siemiatycki,Drohiczyn-gmina miejsko-wiejska,2010023,2021-04-08T09:00:00,2021-04-08T09:00:00,2016-07-27,POINT (748840.0300000001 509732.2199999988),699,699,416,21053,462.0,-1,27848,863.0,-1,27848,863.0,-1,33229,244.0,"LINESTRING (748840.0300000001 509732.2199999988, 762656.3 514117.9000000004)","LINESTRING (748840.0300000001 509732.2199999988, 753898.1299999998 489295.13999999873)",,,
149,150,PL.PZGiK.320.NGRP.26625,26625,Drzewica,Drzewica,,-cy,drzewicki,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0973346,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia 13 grudnia 2012 r., Dz. U. z 2013 r., poz. 200; Wykaz urzędowych nazw miejscow",1991-01-01; 2012-12-13; 1982-01-01,Główny Geodeta Kraju; Minister Administracji i Cyfryzacji; Główny Urząd Statystyczny,punkt główny,"51°27'02"" 20°28'38""",602617.75 399251.29,,,,,,,,,,,,łódzkie,opoczyński,Drzewica-gmina miejsko-wiejska,1007023,2021-04-08T09:00:00,2021-04-08T09:00:00,2015-11-26,POINT (602617.7500000001 399251.29000000004),629,629,499,19979,629.0,-1,29201,571.0,-1,29201,863.0,-1,33649,244.0,"LINESTRING (602617.7500000001 399251.29000000004, 613342.0399999999 389266.85000000056)","LINESTRING (602617.7500000001 399251.29000000004, 609448.6699999999 418026.53000000026)",,,
150,151,PL.PZGiK.320.NGRP.26729,26729,Dubiecko,Dubiecko,,-ka,dubiecki,urzędowa,miejscowość,miasto,,,do 31.12.2020 r. - wieś,TERYT (SIMC),0600496,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia 13 grudnia 2012 r., Dz. U. z 2013 r., poz. 200; Rozporządzenie Rady Ministrów",1991-01-01; 2012-12-13; 2020-07-31; 1982-01-01,Główny Geodeta Kraju; Minister Administracji i Cyfryzacji; Rada Ministrów; Główny Urząd Statystyczny,punkt główny,"49°49'30"" 22°23'33""",743908.36 223033.24,,,,,,,,,,,,podkarpackie,przemyski,Dubiecko-gmina miejsko-wiejska,1813023,2022-01-11T22:36:27,2022-01-11T22:36:27,2020-12-29,POINT (743908.36 223033.24000000022),154,844,616,12644,628.0,-1,30554,849.0,-1,30554,863.0,-1,245786,244.0,"LINESTRING (743908.36 223033.24000000022, 732122.7 221777.89999999944)","LINESTRING (743908.36 223033.24000000022, 752335.6400000001 232460.48999999836)",,,
151,152,PL.PZGiK.320.NGRP.26937,26937,Dukla,Dukla,,-li,dukielski,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0952924,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia",1991-01-01; 1982-01-01; 2012-12-13,Główny Geodeta Kraju; Główny Urząd Statystyczny; Minister Administracji i Cyfryzacji,punkt główny,"49°33'18"" 21°41'04""",694078.28 190981.36,,,,,,,,,,,,podkarpackie,krośnieński,Dukla-gmina miejsko-wiejska,1807023,2021-04-08T09:00:00,2021-04-08T09:00:00,2020-07-16,POINT (694078.28 190981.3599999994),225,679,-1,16350,339.0,-1,35940,949.0,-1,35940,863.0,-1,231717,244.0,"LINESTRING (694078.28 190981.3599999994, 701874.9 192473.25999999885)",,,,
152,153,PL.PZGiK.320.NGRP.27122,27122,Duszniki-Zdrój,Duszniki-Zdrój,,-nik-Zdroju,dusznicki,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0983913,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia 13 grudnia 2012 r., Dz. U. z 2013 r., poz. 200; Wykaz urzędowych nazw miejscow",1991-01-01; 2012-12-13; 1982-01-01,Główny Geodeta Kraju; Minister Administracji i Cyfryzacji; Główny Urząd Statystyczny,punkt główny,"50°24'15"" 16°23'24""",314586.87 285136.18,,,,,,,,,,,,dolnośląskie,kłodzki,Duszniki-Zdrój-gmina miejska,0208011,2021-04-08T09:00:00,2021-04-08T09:00:00,2015-07-06,POINT (314586.86999999994 285136.1799999997),786,786,-1,19037,930.0,-1,31542,585.0,-1,31542,244.0,-1,63854,244.0,"LINESTRING (314586.86999999994 285136.1799999997, 318469.89999999997 286273.1900000004)",,,,
153,154,PL.PZGiK.320.NGRP.27892,27892,Dynów,Dynów,,-nowa,dynowski,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0972080,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia",1991-01-01; 1982-01-01; 2012-12-13,Główny Geodeta Kraju; Główny Urząd Statystyczny; Minister Administracji i Cyfryzacji,punkt główny,"49°49'06"" 22°13'41""",732122.7 221777.9,,,,,,,,,,,,podkarpackie,rzeszowski,Dynów-gmina miejska,1816011,2021-04-08T09:00:00,2021-04-08T09:00:00,2020-12-22,POINT (732122.7 221777.89999999944),39,844,-1,20405,628.0,-1,20405,849.0,-1,20405,863.0,-1,238050,244.0,"LINESTRING (732122.7 221777.89999999944, 722654.8399999999 228832.2999999998)",,,,
154,155,PL.PZGiK.320.NGRP.28239,28239,Działdowo,Działdowo,,-wa,działdowski,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0930609,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia",1991-01-01; 1982-01-01; 2012-12-13,Główny Geodeta Kraju; Główny Urząd Statystyczny; Minister Administracji i Cyfryzacji,punkt główny,"53°14'19"" 20°10'57""",578891.94 597695.99,,,,,,,,,,,,warmińsko-mazurskie,działdowski,Działdowo-gmina miejska,2803011,2021-04-08T09:00:00,2021-04-08T09:00:00,2016-05-31,POINT (578891.94 597695.9900000002),454,454,370,24162,370.0,-1,38945,766.0,-1,38945,848.0,-1,47206,244.0,"LINESTRING (578891.94 597695.9900000002, 592457.7500000001 583792.2099999981)","LINESTRING (578891.94 597695.9900000002, 554828.8200000001 599886.5600000005)",,,
155,156,PL.PZGiK.320.NGRP.28338,28338,Działoszyce,Działoszyce,,-szyc,działoszycki,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0946987,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia",1991-01-01; 1982-01-01; 2012-12-13,Główny Geodeta Kraju; Główny Urząd Statystyczny; Minister Administracji i Cyfryzacji,punkt główny,"50°21'58"" 20°21'04""",596067.45 278547.94,,,,,,,,,,,,świętokrzyskie,pińczowski,Działoszyce-gmina miejsko-wiejska,2608013,2021-04-08T09:00:00,2021-04-08T09:00:00,2016-09-12,POINT (596067.4499999998 278547.9400000004),705,705,-1,19798,705.0,-1,38265,540.0,-1,42590,863.0,-1,100862,244.0,"LINESTRING (596067.4499999998 278547.9400000004, 599483.4199999999 273192.1199999992)",,,,
156,157,PL.PZGiK.320.NGRP.28340,28340,Działoszyn,Działoszyn,,-na,działoszyński,urzędowa,miejscowość,miasto,,,do 1993 r. - wieś,TERYT (SIMC),0703026,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).; Mapa topograficzna w skali 1:10 000; Rozporządzenie Rady Ministrów z dnia 13 grudnia 1993 r.,",1991-01-01; 1982-01-01; 1993-12-13; 2012-12-13,Główny Geodeta Kraju; Główny Urząd Statystyczny; Rada Ministrów; Minister Administracji i Cyfryzacji,punkt główny,"51°07'01"" 18°51'55""",490573.21 361138.78,,,,,,,,,,,,łódzkie,pajęczański,Działoszyn-gmina miejsko-wiejska,1009013,2021-04-08T09:00:00,2021-04-08T09:00:00,2015-12-07,POINT (490573.2100000001 361138.78000000026),564,564,348,18866,951.0,-1,23618,540.0,-1,40917,863.0,-1,40917,244.0,"LINESTRING (490573.2100000001 361138.78000000026, 499650.37000000034 364465.3499999996)","LINESTRING (490573.2100000001 361138.78000000026, 480931.05000000005 344921.919999999)",,,
157,158,PL.PZGiK.320.NGRP.28818,28818,Dzierzgoń,Dzierzgoń,,-nia,dzierzgoński,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0932726,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia 13 grudnia 2012 r., Dz. U. z 2013 r., poz. 200; Wykaz urzędowych nazw miejscow",1991-01-01; 2012-12-13; 1982-01-01,Główny Geodeta Kraju; Minister Administracji i Cyfryzacji; Główny Urząd Statystyczny,punkt główny,"53°55'24"" 19°20'43""",522667.52 673253.73,,,,,,,,,,,,pomorskie,sztumski,Dzierzgoń-gmina miejsko-wiejska,2216013,2021-09-23T00:36:36,2021-09-23T00:36:36,2013-06-09,POINT (522667.52 673253.7299999986),921,547,-1,20521,539.0,792,20521,862.0,-1,68882,848.0,-1,137082,244.0,"LINESTRING (522667.52 673253.7299999986, 539841.8 664659.1399999987)",,"LINESTRING (522667.52 673253.7299999986, 502152.08 672735.5899999999)",,
158,159,PL.PZGiK.320.NGRP.28898,28898,Dzierżoniów,Dzierżoniów,,-niowa,dzierżoniowski,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0983988,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia 13 grudnia 2012 r., Dz. U. z 2013 r., poz. 200; Wykaz urzędowych nazw miejscow",1991-01-01; 2012-12-13; 1982-01-01,Główny Geodeta Kraju; Minister Administracji i Cyfryzacji; Główny Urząd Statystyczny,punkt główny,"50°43'41"" 16°39'05""",334294.35 320542.7,,,,,,,,,,,,dolnośląskie,dzierżoniowski,Dzierżoniów-gmina miejska,0202021,2021-04-08T09:00:00,2021-04-08T09:00:00,2015-06-30,POINT (334294.3500000001 320542.69999999925),580,580,585,8909,585.0,-1,17203,585.0,-1,17203,244.0,-1,30161,244.0,"LINESTRING (334294.3500000001 320542.69999999925, 329231.98000000033 318933.6900000004)","LINESTRING (334294.3500000001 320542.69999999925, 341374.9500000002 315135.41000000015)",,,
159,160,PL.PZGiK.320.NGRP.29292,29292,Dziwnów,Dziwnów,,-nowa,dziwnowski,urzędowa,miejscowość,miasto,,,do 2004 r. - wieś,TERYT (SIMC),0774782,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia 13 grudnia 2012 r., Dz. U. z 2013 r., poz. 200; Wykaz urzędowych nazw miejscow",1991-01-01; 2012-12-13; 1982-01-01,Główny Geodeta Kraju; Minister Administracji i Cyfryzacji; Główny Urząd Statystyczny,punkt główny,"54°01'39"" 14°45'37""",222436.96 693111.61,,,,,,,,,,,,zachodniopomorskie,kamieński,Dziwnów-gmina miejsko-wiejska,3207013,2021-04-08T09:00:00,2021-04-08T09:00:00,2016-02-18,POINT (222436.95999999996 693111.6100000003),265,265,-1,22856,812.0,-1,26762,829.0,-1,127209,848.0,-1,230450,244.0,"LINESTRING (222436.95999999996 693111.6100000003, 222851.56000000006 686506.79)",,,,
160,161,PL.PZGiK.320.NGRP.29389,29389,Elbląg,Elbląg,,-ga,elbląski,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0932703,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia",1991-01-01; 1982-01-01; 2012-12-13,Główny Geodeta Kraju; Główny Urząd Statystyczny; Minister Administracji i Cyfryzacji,punkt główny,"54°09'41"" 19°24'35""",526747.88 699759.57,,,,,,,,,,,,warmińsko-mazurskie,Elbląg,Elbląg-gmina miejska,2861011,2021-04-08T09:00:00,2021-04-08T09:00:00,2016-06-13,POINT (526747.88 699759.5699999994),821,821,-1,19468,821.0,506,19956,862.0,-1,67008,848.0,-1,159878,244.0,"LINESTRING (526747.88 699759.5699999994, 534278.4200000002 717472.5000000009)",,"LINESTRING (526747.88 699759.5699999994, 507642.12000000005 705522.8899999987)",,
161,162,PL.PZGiK.320.NGRP.29473,29473,Ełk,Ełk,,-ku,ełcki,urzędowa,miejscowość,miasto,,,,TERYT (SIMC),0977670,"Nazwy geograficzne Rzeczypospolitej Polskiej (gazeter)  PPWK - Warszawa 1991.; Wykaz urzędowych nazw miejscowości w Polsce, t. I - III  GUS (1980 - 1982).; Mapa topograficzna w skali 1:10 000; Rozporządzenie Ministra Administracji i Cyfryzacji z dnia",1991-01-01; 1982-01-01; 2012-12-13,Główny Geodeta Kraju; Główny Urząd Statystyczny; Minister Administracji i Cyfryzacji,punkt główny,"53°49'22"" 22°21'10""",720593.23 667235.22,,,,,,,,,,,,warmińsko-mazurskie,ełcki,Ełk-gmina miejska,2805011,2021-04-08T09:00:00,2021-04-08T09:00:00,2016-06-02,POINT (720593.2300000001 667235.2199999988),203,784,-1,44882,680.0,-1,44882,249.0,-1,44882,848.0,-1,97424,244.0,"LINESTRING (720593.2300000001 667235.2199999988, 728267.5799999998 648009.4100000011)",,,,
